iter	RMSE
197	0.8235505115
198	0.8213504869
199	0.8183530743
200	0.8157699276
201	0.8111693344
202	0.8068114111
203	0.8033621949
204	0.8001046004
205	0.7943406215
206	0.7930696605
207	0.7878911466
208	0.784852181
209	0.7835800537
210	0.7777373938
211	0.7753191345
212	0.7723008389
213	0.7701192162
214	0.7687816323
215	0.7654554666
216	0.7632666646
217	0.7603583425
218	0.7568933549
219	0.7516681515
220	0.7494671078
221	0.7463175567
222	0.7453990712
223	0.7437125751
224	0.7425111069
225	0.7419423739
226	0.7373966804
227	0.7349614824
228	0.7300438715
229	0.7275172736
230	0.7249797473
231	0.7230593535
232	0.7200611919
233	0.7153399568
234	0.7116223973
235	0.7108333276
236	0.7094202179
237	0.707431071
238	0.7045555421
239	0.7029746674
240	0.7023358848
241	0.7004926495
242	0.6991857743
243	0.6965547529
244	0.6953698409
245	0.6931336945
246	0.6890482915
247	0.6850979507
248	0.6843774465
249	0.682864455
250	0.6787561001
251	0.6779230409
252	0.6762958002
253	0.6756596552
254	0.6746114437
255	0.673276909
256	0.6709135588
257	0.6659074145
258	0.6596127141
259	0.658513232
260	0.6560615335
261	0.6546896993
262	0.6501972721
263	0.6470521594
264	0.6450831991
265	0.6420045711
266	0.6371433664
267	0.6364436618
268	0.6344780435
269	0.6340250745
270	0.6328020338
271	0.6304258532
272	0.6283199382
273	0.6230570017
274	0.6186537745
275	0.6178214659
276	0.6167355919
277	0.6145184453
278	0.6141153889
279	0.6123405834
280	0.6112137667
281	0.6088760446
282	0.6049945836
283	0.6017177775
284	0.6001728741
285	0.596651582
286	0.5932854457
287	0.5910905252
288	0.589782474
289	0.5879177057
290	0.585625658
291	0.5843249151
292	0.5839657615
293	0.5833497314
294	0.5825058676
295	0.5810679753
296	0.5800543071
297	0.5789032529
298	0.5774003098
299	0.576282388
300	0.5719855432
301	0.5678777429
302	0.5651945308
303	0.564039143
304	0.5634826355
305	0.5597134416
306	0.5552860849
307	0.5537404694
308	0.5527934291
309	0.5523833524
310	0.5504751435
311	0.5496443084
312	0.5491483306
313	0.5452871821
314	0.5436206598
315	0.5423646513
316	0.5405783782
317	0.5399324524
318	0.5359330101
319	0.5344292771
320	0.5308725811
321	0.5305491311
322	0.5288320766
323	0.5259390102
324	0.5244177364
325	0.5208731716
326	0.5181604633
327	0.5166503892
328	0.5130840567
329	0.5126300284
